Специальность;Зарплата в рублях;Ссылка
Программист микроконтройлеров STM32(C++);50 000 — 100 000 ;https://www.avito.ru/yaroslavl/vakansii/programmist_mikrokontroylerov_stm32c_2229109812
Программист 1С;60 000 — 80 000 ;https://www.avito.ru/moskva/vakansii/programmist_1s_2243874324
Программист;25 000 — 45 000 ;https://www.avito.ru/smolensk/vakansii/programmist_2057335736
Инженер-программист;Зарплата не указана;https://www.avito.ru/velikie_luki/vakansii/inzhener-programmist_2184054926
Программист 1С;от 100 000 ;https://www.avito.ru/moskva/vakansii/programmist_1s_2240599299
Начинающий программист;от 15 000 ;https://www.avito.ru/ekaterinburg/vakansii/nachinayuschiy_programmist_2251088794
Программист для разработки мед оборудования;80 000 — 120 000 ;https://www.avito.ru/moskva/vakansii/programmist_dlya_razrabotki_med_oborudovaniya_2238677619
Программист;50 000 — 170 000 ;https://www.avito.ru/moskva/vakansii/programmist_2269301951
Программист станков с чпу;95 000 ;https://www.avito.ru/staraya_kupavna/vakansii/programmist_stankov_s_chpu_2150176541
Программист;100 000 ;https://www.avito.ru/habarovsk/vakansii/programmist_2178453361
Программист 1С;100 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_1s_2258206537
Программист;Зарплата не указана;https://www.avito.ru/krasnoyarsk/vakansii/programmist_2244439503
Программист;35 000 ;https://www.avito.ru/bugulma/vakansii/programmist_2124474304
Программист 1С Альфа авто 8,3;80 000 — 120 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_1s_alfa_avto_83_2257931639
Программист Битрикс;от 25 000 ;https://www.avito.ru/nizhniy_novgorod/vakansii/programmist_bitriks_2268511506
Программист;до 140 000 ;https://www.avito.ru/moskva/vakansii/programmist_2253550995
Программист Delphi / SQL;100 000 — 120 000 ;https://www.avito.ru/podolsk/vakansii/programmist_delphi_sql_2255291122
Программист-консультант;от 18 000 ;https://www.avito.ru/votkinsk/vakansii/programmist-konsultant_2261406348
Программист 1С удаленно;от 30 000 ;https://www.avito.ru/suzdal/vakansii/programmist_1s_udalenno_2242420073
Инженер-программист асутп;100 000 ;https://www.avito.ru/amurskaya_oblast_blagoveschensk/vakansii/inzhener-programmist_asutp_869440774
Программист фрезерных станков чпу;80 000 — 110 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_frezernyh_stankov_chpu_2266237200
Программист 1с;30 000 ;https://www.avito.ru/kislovodsk/vakansii/programmist_1s_2244774489
Программист, стажер 1С;40 000 ;https://www.avito.ru/chaykovskiy/vakansii/programmist_stazher_1s_779750689
Программист;Зарплата не указана;https://www.avito.ru/kaliningrad/vakansii/programmist_2259405835
Программист;Зарплата не указана;https://www.avito.ru/rostov-na-donu/vakansii/programmist_1991704026
Ведущий программист;от 38 000 ;https://www.avito.ru/anapa/vakansii/veduschiy_programmist_2114273440
Программист Qt/C++;80 000 — 210 000 ;https://www.avito.ru/moskva/vakansii/programmist_qtc_2273151408
Программист 1С - Стажер;15 000 — 30 000 ;https://www.avito.ru/glazov/vakansii/programmist_1s_-_stazher_536923390
Услуги программиста;1 000 — 6 000 ;https://www.avito.ru/kislyakovskaya/vakansii/uslugi_programmista_2252361253
Программист в агентство недвижимости;20 000 — 50 000 ;https://www.avito.ru/evpatoriya/vakansii/programmist_v_agentstvo_nedvizhimosti_2184167673
Программист sql;от 60 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_sql_2230580386
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист C++ и C#;100 000 ;https://www.avito.ru/krasnodar/vakansii/programmist_c_i_c_1769348308
Программист;от 1 ;https://www.avito.ru/nizhniy_lomov/vakansii/programmist_2243368080
Программист;от 35 000 ;https://www.avito.ru/kyshtym/vakansii/programmist_2263548711
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Программист 1С;от 100 000 ;https://www.avito.ru/ekaterinburg/vakansii/programmist_1s_2252959486
Программист;30 000 — 40 000 ;https://www.avito.ru/arhangelsk/vakansii/programmist_2230179012
Программист;Зарплата не указана;https://www.avito.ru/cherkessk/vakansii/programmist_2234175336
Программист 1С;Зарплата не указана;https://www.avito.ru/kuznetsk/vakansii/programmist_1s_2070668694
Программист станков чпу;от 80 000 ;https://www.avito.ru/moskva/vakansii/programmist_stankov_chpu_2267551771
Программист С++;от 80 000 ;https://www.avito.ru/taganrog/vakansii/programmist_s_2273647057
Программист 1С;150 000 — 200 000 ;https://www.avito.ru/chelyabinsk/vakansii/programmist_1s_2014371717
Программист-консультант 1С;Зарплата не указана;https://www.avito.ru/murom/vakansii/programmist-konsultant_1s_2252403775
Программист 1с - унф. Не удаленно;80 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_1s_-_unf._ne_udalenno_2234531124
Программист, системный администратор;50 000 ;https://www.avito.ru/syktyvkar/vakansii/programmist_sistemnyy_administrator_2004187570
Программист;40 000 ;https://www.avito.ru/magnitogorsk/vakansii/programmist_2222021211
Web-программист;30 000 — 60 000 ;https://www.avito.ru/novosibirsk/vakansii/web-programmist_2136445305
Программист 1С;30 000 — 60 000 ;https://www.avito.ru/nizhniy_novgorod/vakansii/programmist_1s_2239678993
Программист-консультант;от 90 000 ;https://www.avito.ru/krasnodar/vakansii/programmist-konsultant_2242929074
Программист 1С;от 80 000 ;https://www.avito.ru/yaroslavl/vakansii/programmist_1s_2269167877
Программист 1:С;100 000 — 110 000 ;https://www.avito.ru/kaliningrad/vakansii/programmist_1s_1348886832
Программист Веб-разработчик hostcms;100 000 ;https://www.avito.ru/moskva/vakansii/programmist_veb-razrabotchik_hostcms_1905010076
Программист 1С;100 000 ;https://www.avito.ru/murmansk/vakansii/programmist_1s_1973594277
Программист;40 000 ;https://www.avito.ru/volodarsk/vakansii/programmist_2150834094
Программист 1 С;от 120 000 ;https://www.avito.ru/istra/vakansii/programmist_1_s_2251163866
Программист 1 С;от 110 000 ;https://www.avito.ru/pushkino/vakansii/programmist_1_s_2216684265
Программист 1С;от 50 000 ;https://www.avito.ru/apatity/vakansii/programmist_1s_2247868120
Программист системного, прикладного по, WEB;Зарплата не указана;https://www.avito.ru/staryy_oskol/vakansii/programmist_sistemnogo_prikladnogo_po_web_1909261121
Программист 1С;Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_1s_2255061821
Дессинатор (программист) вязального оборудования;Зарплата не указана;https://www.avito.ru/moskva/vakansii/dessinator_programmist_vyazalnogo_oborudovaniya_2261133790
Программист;от 30 000 ;https://www.avito.ru/magnitogorsk/vakansii/programmist_2267379578
Программист на подработку;20 000 ;https://www.avito.ru/moskva/vakansii/programmist_na_podrabotku_1786569324
Программист SQL;70 000 ;https://www.avito.ru/volgograd/vakansii/programmist_sql_2268039105
Программист на Google app script, python;Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_na_google_app_script_python_2244801610
Программист C# /NET / С++;Зарплата не указана;https://www.avito.ru/sankt-peterburg/vakansii/programmist_c_net_s_2268558889
Программист 1С;от 45 000 ;https://www.avito.ru/ulyanovsk/vakansii/programmist_1s_2265491342
Программист 1C;Зарплата не указана;https://www.avito.ru/belorechensk/vakansii/programmist_1c_2262104666
Программист;от 55 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_2251093975
Требуется программист создания сайтов на удаленке;30 000 — 50 000 ;https://www.avito.ru/moskva/vakansii/trebuetsya_programmist_sozdaniya_saytov_na_udalenke_2244849410
Программист 1С;100 ;https://www.avito.ru/tyumenskaya_oblast_yarkovo/vakansii/programmist_1s_2258526946
Программист;30 000 — 70 000 ;https://www.avito.ru/krasnoyarsk/vakansii/programmist_2243069135
Программист асутп;Зарплата не указана;https://www.avito.ru/omsk/vakansii/programmist_asutp_2139002465
Программист 1с;30 000 — 150 000 ;https://www.avito.ru/habarovsk/vakansii/programmist_1s_2238231177
Программист 1С;Зарплата не указана;https://www.avito.ru/chaltyr/vakansii/programmist_1s_2244741087
Программист Backend-разработчик (Python);Зарплата не указана;https://www.avito.ru/krasnodar/vakansii/programmist_backend-razrabotchik_python_2269118642
Программист среднего уровня React native;от 20 000 ;https://www.avito.ru/moskva/vakansii/programmist_srednego_urovnya_react_native_2261532668
Программист 1С;40 000 ;https://www.avito.ru/bashkortostan_oktyabrskiy/vakansii/programmist_1s_2044306796
Веб-программист;45 000 — 60 000 ;https://www.avito.ru/kislovodsk/vakansii/veb-programmist_2264079417
Программист C#;30 000 — 120 000  сдельно;https://www.avito.ru/kazan/vakansii/programmist_c_2267836021
Программист Docsvision;Зарплата не указана;https://www.avito.ru/habarovsk/vakansii/programmist_docsvision_2240233444
Программист PHP junior;40 000 — 60 000 ;https://www.avito.ru/pskov/vakansii/programmist_php_junior_1950750171
Web програмист Jun or Middl;от 50 000 ;https://www.avito.ru/amurskaya_oblast_blagoveschensk/vakansii/web_programist_jun_or_middl_2219694722
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
